"Time (UTCG)","Quaternion.Q1","Quaternion.Q2","Quaternion.Q3","Quaternion.Q4"
29 Nov 2021 17:00:00.000,0.139415,-0.727512,-0.395837,0.542773
29 Nov 2021 17:01:00.000,-0.758885,0.623564,-0.154516,-0.106704
29 Nov 2021 17:02:00.000,-0.454929,-0.562829,-0.444537,0.527873
29 Nov 2021 17:02:16.777,-0.781170,0.064589,-0.426508,0.451323


